time,num_completed,total_wait,abandon
4832,2,4,0
4839,1,4,0
4846,1,11,0
4849,1,13,0
4853,1,15,0
4855,1,17,0
4863,1,23,0
4864,1,14,1
4865,1,25,0
4866,1,22,0
4872,1,26,0
4874,1,25,0
4880,2,59,0
4884,1,30,0
4887,1,28,0
4893,1,27,1
4894,2,69,0
4900,1,39,0
4905,1,43,0
4917,1,53,0
4923,1,58,0
4924,1,53,0
4927,1,19,1
4930,1,52,0
4931,1,52,0
4932,1,51,0
4936,1,55,0
4938,1,56,0
4942,1,58,0
4944,1,58,0
4945,1,53,0
4946,1,49,0
4949,1,50,0
4953,1,51,0
4955,2,99,0
4960,2,106,0
4968,1,60,0
4973,4,179,1
4975,1,41,1
4976,1,58,0
4977,1,59,0
4980,2,115,0
4981,1,55,0
4982,1,55,0
4983,1,54,0
4989,1,57,0
4990,1,57,0
4991,1,41,1
5001,3,113,1
5003,2,96,0
5006,1,24,1
5009,1,48,0
5013,1,52,0
5017,1,52,0
5022,1,56,0
5023,1,26,1
5024,1,50,0
5026,1,47,0
5033,1,42,1
5034,2,101,0
5039,1,47,0
5040,1,41,0
5041,1,35,0
5044,1,33,0
5052,2,80,0
5053,1,35,0
5061,1,33,0
5063,1,34,0
5065,1,31,0
5071,1,35,0
5074,1,37,0
5079,1,41,0
5084,1,45,0
5085,1,45,0
5086,1,45,0
5090,1,45,0
5091,1,46,0
5092,1,46,0
5093,1,44,0
5098,1,47,0
5101,1,50,0
5102,1,46,0
5108,1,48,0
5109,1,46,0
5114,1,47,0
5117,1,50,0
5118,1,48,0
5120,2,93,0
5122,1,47,0
5133,1,54,0
5139,1,53,0
5140,1,11,1
5142,1,49,0
5148,2,95,1
5150,1,52,0
5152,1,53,0
5154,1,54,0
5157,1,55,0
5158,2,104,0
5160,1,51,0
5161,1,49,0
5166,1,49,1
5168,1,55,0
5169,1,44,0
5174,1,16,1
5176,1,50,0
5177,1,47,0
5181,1,48,0
5182,1,44,0
5189,1,47,0
5190,1,48,0
5195,1,49,0
5196,1,48,0
5197,1,49,0
5200,1,51,0
5201,1,6,1
5205,1,50,1
5208,1,43,0
5209,1,39,0
5212,1,39,0
5221,1,48,0
5224,1,51,0
5225,1,32,0
5227,1,34,0
5228,1,33,0
5229,1,34,0
5233,2,62,1
5237,1,38,0
5240,1,40,0
5241,1,33,1
5242,1,42,0
5246,1,42,0
5247,1,34,0
5248,1,29,0
5251,1,29,0
5252,1,16,0
5256,1,12,0
5264,1,19,0
5266,2,8,0
5270,1,4,0
5271,1,4,0
5276,2,10,0
5286,1,11,1
5287,1,13,0
5299,3,53,0
5309,1,22,0
5310,1,18,0
5312,1,20,0
5315,3,38,1
5317,3,12,0
5322,1,0,0
5324,1,0,0
5327,1,0,0
5333,1,0,0
5334,1,0,0
5341,1,0,0
5345,1,0,0
5350,2,0,0
5357,1,0,0
5359,2,0,0
5360,1,0,0
5371,1,6,0
5373,1,0,0
5376,1,2,0
5377,1,2,0
5378,1,2,0
5382,1,4,0
5386,1,7,0
5390,1,0,0
5392,1,0,0
5397,1,0,0
5398,2,0,0
5399,2,0,0
5400,1,0,0
5401,1,0,0
5402,1,0,0
5404,1,0,0
5406,1,0,0
5407,1,1,0
5414,1,5,0
5417,1,5,0
5419,2,8,1
5422,1,7,0
5425,1,7,0
5427,1,9,0
5428,1,8,0
5429,1,5,0
5432,1,5,0
5435,1,2,0
5440,1,0,0
5441,1,0,0
5445,1,0,0
5447,1,0,0
5448,1,0,0
5450,1,0,0
5459,1,7,0
5463,1,11,0
5465,1,12,0
